driverId,avg_gain,gain_pct,volatility,p10_gain,p90_gain,avg_qual,avg_finish,gain_per_qual_rank,teammate_delta_avg,race_count,year,forename,surname,driver_name,pca1,pca2,cluster,cluster_name,dbscan_cluster,era
14,-2.75,0.375,5.496752287877426,-9.2,2.3,5.625,8.375,-0.4888888888888889,0.0,8,1994,David,Coulthard,D. Coulthard,-1.970979299289397,-0.6803164379133567,1,Volatile Drivers,0,1994–2009
22,-2.7333333333333334,0.4666666666666667,8.924017886473292,-13.6,7.999999999999998,9.333333333333334,12.066666666666666,-0.29285714285714287,0.0,15,1994,Rubens,Barrichello,R. Barrichello,-1.861845572412571,2.511166740628131,1,Volatile Drivers,0,1994–2009
30,-3.769230769230769,0.3076923076923077,6.869665762779706,-14.399999999999999,1.0,1.8461538461538463,5.615384615384615,-2.0416666666666665,0.0,13,1994,Michael,Schumacher,M. Schumacher,-4.900246026639945,-0.5306733945290077,1,Volatile Drivers,-1,1994–2009
44,5.133333333333334,0.8,6.057659456856096,-3.1999999999999997,11.2,15.133333333333333,10.0,0.3392070484581498,0.0,15,1994,Olivier,Panis,O. Panis,3.0472810684708684,2.070707320604737,2,Consistent Climbers,-1,1994–2009
49,-5.266666666666667,0.26666666666666666,8.08408194864333,-15.0,6.0,8.733333333333333,14.0,-0.6030534351145038,0.0,15,1994,Heinz-Harald,Frentzen,H. Frentzen,-3.3832319300295066,1.4661912164700261,1,Volatile Drivers,-1,1994–2009
50,-3.1,0.5,8.887569346502389,-14.1,5.399999999999999,10.6,13.7,-0.29245283018867924,0.0,10,1994,Jos,Verstappen,J. Verstappen,-2.235472749744308,1.9230201688920667,1,Volatile Drivers,0,1994–2009
55,-5.461538461538462,0.38461538461538464,9.752054352933236,-20.0,3.6000000000000014,5.846153846153846,11.307692307692308,-0.9342105263157896,0.0,13,1994,Jean,Alesi,J. Alesi,-4.604166654007858,1.931291883197213,1,Volatile Drivers,-1,1994–2009
56,-6.6923076923076925,0.38461538461538464,9.902732075750741,-18.0,6.0,9.23076923076923,15.923076923076923,-0.7250000000000001,0.0,13,1994,Eddie,Irvine,E. Irvine,-4.149594575360117,2.4350380422867755,1,Volatile Drivers,-1,1994–2009
57,-3.357142857142857,0.5,7.840792177964033,-12.1,5.700000000000001,6.571428571428571,9.928571428571429,-0.5108695652173914,0.0,14,1994,Mika,Häkkinen,M. Häkkinen,-2.1004112787959297,1.367660593377317,1,Volatile Drivers,0,1994–2009
65,2.533333333333333,0.6666666666666666,12.176480060619598,-18.2,13.2,16.333333333333332,13.8,0.15510204081632653,0.0,15,1994,Johnny,Herbert,J. Herbert,-0.253526743122586,5.852923981792451,0,Midfield Stabilizers,-1,1994–2009
70,1.2,0.5,8.011103405759894,-5.7,9.499999999999998,19.6,18.4,0.06122448979591836,0.0,10,1994,Alessandro,Zanardi,A. Zanardi,0.4914240522266346,2.185686995429326,0,Midfield Stabilizers,0,1994–2009
71,-1.8666666666666667,0.4666666666666667,5.841558826529912,-10.999999999999998,2.0,2.6,4.466666666666667,-0.717948717948718,0.0,15,1994,Damon,Hill,D. Hill,-2.1111454270026226,-0.4350019423262255,1,Volatile Drivers,0,1994–2009
77,-6.0,0.26666666666666666,9.211793682944862,-17.2,2.5999999999999996,6.0,12.0,-1.0,0.0,15,1994,Gerhard,Berger,G. Berger,-4.804764708186562,1.1428424607868193,1,Volatile Drivers,-1,1994–2009
79,-4.8,0.4666666666666667,8.7765922446341,-16.599999999999998,4.6,11.266666666666667,16.066666666666666,-0.42603550295857984,0.0,15,1994,Ukyo,Katayama,U. Katayama,-3.114321516860305,1.7467539705172959,1,Volatile Drivers,-1,1994–2009
81,-2.3333333333333335,0.3333333333333333,7.2571803523590805,-8.6,7.6,14.466666666666667,16.8,-0.16129032258064516,0.0,15,1994,Gianni,Morbidelli,G. Morbidelli,-1.207779299969653,1.3207937431461916,0,Midfield Stabilizers,0,1994–2009
84,-2.8666666666666667,0.4666666666666667,7.77235638719197,-12.799999999999999,5.6,11.0,13.866666666666667,-0.2606060606060606,0.0,15,1994,Martin,Brundle,M. Brundle,-1.8780962759280304,1.415224900341065,1,Volatile Drivers,0,1994–2009
87,-0.4,0.5333333333333333,7.079144419651693,-9.6,7.0,12.733333333333333,13.133333333333333,-0.03141361256544503,0.0,15,1994,Mark,Blundell,M. Blundell,-0.38182128188724324,1.43631735419227,0,Midfield Stabilizers,0,1994–2009
94,3.3333333333333335,0.7333333333333333,5.340768626687503,-3.5999999999999996,10.2,16.066666666666666,12.733333333333333,0.2074688796680498,0.0,15,1994,Pierluigi,Martini,P. Martini,2.3624242488959792,1.421599115842096,2,Consistent Climbers,0,1994–2009
100,4.714285714285714,0.5714285714285714,7.897697536220692,-4.4,15.100000000000003,20.142857142857142,15.428571428571429,0.23404255319148937,0.0,14,1994,Érik,Comas,É. Comas,2.3971217210726388,3.61019860761738,2,Consistent Climbers,-1,1994–2009
101,8.733333333333333,1.0,4.963677592077797,2.0,14.6,24.333333333333332,15.6,0.35890410958904106,0.0,15,1994,David,Brabham,D. Brabham,5.363398905535068,2.3644718545360712,2,Consistent Climbers,-1,1994–2009
103,7.076923076923077,0.9230769230769231,4.071476768559914,3.2,11.0,18.46153846153846,11.384615384615385,0.38333333333333336,0.0,13,1994,Éric,Bernard,É. Bernard,4.703609832712743,0.9408249009359688,2,Consistent Climbers,-1,1994–2009
104,5.466666666666667,0.8666666666666667,5.475486497193868,0.8000000000000003,11.0,16.933333333333334,11.466666666666667,0.3228346456692913,0.0,15,1994,Christian,Fittipaldi,C. Fittipaldi,3.7101516875489526,1.5647355980021929,2,Consistent Climbers,-1,1994–2009
105,2.1333333333333333,0.5333333333333333,5.755328793718872,-3.5999999999999996,8.2,18.733333333333334,16.6,0.11387900355871886,0.0,15,1994,Michele,Alboreto,M. Alboreto,1.2476188371788406,0.8824742076254866,2,Consistent Climbers,0,1994–2009
106,5.0,0.6666666666666666,8.514693182963201,-3.3999999999999995,16.2,22.666666666666668,17.666666666666668,0.22058823529411764,0.0,9,1994,Olivier,Beretta,O. Beretta,2.7790431848574553,4.137511821091846,2,Consistent Climbers,-1,1994–2009
109,-1.4285714285714286,0.42857142857142855,12.259107401671391,-13.6,12.200000000000001,13.571428571428571,15.0,-0.10526315789473685,0.0,7,1994,Jyrki,Järvilehto,J. Järvilehto,-1.545982664057663,4.927846424213009,1,Volatile Drivers,-1,1994–2009
110,-3.0,0.2,5.617433182117573,-10.1,5.199999999999999,15.7,18.7,-0.1910828025477707,0.0,10,1994,Andrea,de Cesaris,A. de Cesaris,-1.8283604634593758,0.04828756876868521,0,Midfield Stabilizers,0,1994–2009
111,11.0,1.0,5.507570547286102,4.2,17.0,25.714285714285715,14.714285714285714,0.42777777777777776,0.0,7,1994,Jean-Marc,Gounon,J. Gounon,6.309848311695852,3.0975649731275965,2,Consistent Climbers,-1,1994–2009
14,-7.705882352941177,0.11764705882352941,8.586069428748763,-18.4,0.40000000000000036,2.6470588235294117,10.352941176470589,-2.9111111111111114,0.0,17,1995,David,Coulthard,D. Coulthard,-7.805827337007226,-0.19366006129713997,1,Volatile Drivers,-1,1994–2009
